Event,Category,Duration,Annual_Probability,Probability_Percent,Impact_Severity,Financial_Impact,Family_Disruption,Preparable,Insurance,Urban_Factor
Home damage (storm),Infrastructure,medium,0.0726,7.26%,6,high,7,True,partial,1.1
Identity theft,Security,medium,0.0660,6.60%,5,medium,6,True,partial,1.2
Legal issues,Legal,medium,0.0300,3.00%,5,high,6,True,none,1.0
Family emergency,Social,medium,0.1000,10.00%,5,medium,7,False,none,1.0
Workplace closure,Economic,medium,0.0600,6.00%,5,medium,6,False,partial,1.2
Major illness/surgery,Health,medium,0.0480,4.80%,7,high,8,True,full,1.0
Home uninhabitable,Infrastructure,medium,0.0264,2.64%,8,high,9,True,partial,1.2
Major accident/injury,Health,medium,0.0240,2.40%,8,high,9,True,full,1.0
Pandemic lockdown,Health,medium,0.0120,1.20%,6,medium,8,False,none,1.0
Chronic illness (mild),Health,long,0.1200,12.00%,4,medium,5,True,partial,1.0
Extended unemployment,Economic,long,0.0800,8.00%,6,high,7,True,partial,1.0
Aging parent care,Social,long,0.1500,15.00%,5,medium,6,True,none,1.0
Educational disruption,Education,long,0.0600,6.00%,4,medium,6,True,none,1.0
Relationship stress,Social,long,0.2000,20.00%,3,low,5,True,none,1.0
Financial strain,Economic,long,0.2500,25.00%,5,medium,6,True,none,1.0
Chronic illness (serious),Health,long,0.0600,6.00%,7,high,8,True,partial,1.0
Disability (parent),Health,long,0.0264,2.64%,8,high,9,True,partial,1.0
Disability (child),Health,long,0.0120,1.20%,9,high,10,True,partial,1.0
Divorce/separation,Social,long,0.1000,10.00%,6,medium,8,True,none,1.0
Economic recession,Economic,long,0.1500,15.00%,5,medium,6,False,none,1.0
Climate change effects,Environmental,long,0.3300,33.00%,4,medium,5,True,none,1.1
Terminal illness,Health,long,0.0096,0.96%,10,catastrophic,10,True,partial,1.0
Permanent disability,Health,long,0.0120,1.20%,9,high,9,True,partial,1.0
Economic collapse,Economic,long,0.0060,0.60%,8,catastrophic,9,False,none,1.2
Environmental disaster,Environmental,long,0.0130,1.30%,8,high,8,False,partial,1.3
Social unrest/war,Security,long,0.0033,0.33%,9,catastrophic,10,False,none,1.5
